name,categories
Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Del Taco,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants"
Cook-Out,"Fast Food Restaurants,American Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants"
Krystal,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Taco Bell,"Mexican Restaurants,Fast Food Restaurants,Restaurants"
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Restaurant Delivery Service,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Food Delivery Service,Chicken Restaurants,Restaurants,Pizza,Catering"
Pizza Hut,"Pizza,Restaurant Delivery Service,Take Out Restaurants,Fast Food Restaurants,Food Delivery Service,Chicken Restaurants,Family Style Restaurants,Restaurants"
Pizza Hut,"Pizza,Restaurant Delivery Service,Take Out Restaurants,Fast Food Restaurants,Food Delivery Service,Chicken Restaurants,Family Style Restaurants,Restaurants"
Pizza Hut,"Pizza,Restaurant Delivery Service,Take Out Restaurants,Fast Food Restaurants,Food Delivery Service,Chicken Restaurants,Family Style Restaurants,Restaurants"
Pizza Hut,"Pizza,Chicken Wings,Food Delivery,Restaurant Delivery Service,Take Out Restaurants,Fast Food Restaurants,Food Delivery Service,Chicken Restaurants,Restaurants"
Dairy Queen-Russo,"Ice Cream and Frozen Desserts,Ice Cream Mixes and Other Frozen Mixes,Fast Food Restaurants,Dessert Restaurants,Yogurt,Hamburgers and Hot Dogs,Restaurants"
Pizza Hut,"Pizza,Restaurant,Chicken Wings,Restaurant Delivery Service,Food Delivery,Fast Food Restaurants,Take Out Restaurants,Food Delivery Service,Pizza Place,Chicken Restaurants,Catering,Restaurants"
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops"
McDonald's,"Hamburgers & Hot Dogs,Ice Cream Parlors,Breakfast,Fast Food Restaurant,Take Out Restaurants,Fast Food Restaurants,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops"
